player_name,league,pass_accuracy,tackles_per_game,interceptions_per_game,aerial_duels_won_pct,dribbles_per_game,key_passes_per_game,shots_on_target_pct
Leon Kramer,Bundesliga,78.2,0.8,0.5,52.0,2.1,1.8,48.5
Maximilian Berger,Bundesliga,72.5,0.6,0.3,45.0,2.8,1.5,55.2
Tiago Ferreira,Bundesliga,88.4,1.5,1.2,38.0,3.2,2.9,42.0
Niklas Hoffmann,Bundesliga,85.1,3.2,2.8,68.0,0.5,0.8,35.0
Artem Kowalenko,Bundesliga,74.0,0.9,0.4,50.0,2.5,1.6,51.3
Luca Esposito,Bundesliga,86.7,1.8,1.4,42.0,2.0,2.5,45.8
Jannik Weiß,Bundesliga,92.0,0.0,0.0,15.0,0.0,0.0,0.0
Sven Lindqvist,Bundesliga,82.3,2.8,2.1,62.0,0.8,1.2,28.0
Karim Benzali,Bundesliga,83.5,1.6,1.0,40.0,1.5,2.0,40.5
Dominik Schuster,Bundesliga,70.2,0.7,0.3,48.0,1.8,1.2,46.0
Rui Delgado,Bundesliga,90.1,1.2,0.9,35.0,2.8,3.5,38.5
Pavel Novotny,Bundesliga,84.0,3.5,2.5,72.0,0.3,0.6,30.0
Florian Engel,Bundesliga,75.8,0.5,0.4,44.0,3.0,1.9,52.0
Matteo Ricci,Bundesliga,87.5,2.0,1.6,36.0,1.2,2.2,35.5
Jonas Becker,Bundesliga,90.5,0.0,0.0,18.0,0.0,0.0,0.0
Henrik Andersen,Bundesliga,81.0,2.5,2.0,65.0,0.6,1.0,32.0
Yusuf Öztürk,Bundesliga,73.5,0.8,0.5,46.0,2.3,1.4,53.0
Samuel Koffi,Bundesliga,80.0,1.4,1.1,34.0,2.6,2.1,39.0
Elias Moser,Bundesliga,83.8,3.0,2.3,70.0,0.4,0.5,25.0
Marco Volpi,Bundesliga,76.5,0.9,0.6,47.0,2.4,2.0,49.5
James Whitfield,Premier League,76.0,0.7,0.4,48.0,2.9,2.0,54.0
Carlos Mendez,Premier League,89.5,1.8,1.3,36.0,2.5,3.2,41.0
Oliver Thompson,Premier League,83.0,3.0,2.5,70.0,0.4,0.7,28.0
Amadou Diallo,Premier League,74.5,0.6,0.3,42.0,3.5,2.1,50.0
Ryan O'Brien,Premier League,91.0,0.0,0.0,20.0,0.0,0.0,0.0
Kenji Tanaka,Premier League,87.0,1.5,1.0,38.0,2.8,2.8,47.5
Lucas Moreau,Premier League,82.5,2.8,2.2,66.0,0.5,0.9,30.0
Ibrahim Hassan,Premier League,72.0,0.8,0.5,44.0,3.2,1.8,48.0
David Nilsson,Premier League,84.2,1.6,1.2,40.0,1.4,2.0,38.0
Patrick McAllister,Premier League,80.5,2.6,2.0,64.0,0.6,1.1,26.0
Emiliano Rossi,Premier League,79.0,0.5,0.3,46.0,3.0,2.5,56.0
Tyrone Williams,Premier League,85.8,1.4,1.0,35.0,2.2,2.4,43.0
Nathan Cooper,Premier League,81.2,3.2,2.4,72.0,0.2,0.4,22.0
Alejandro Vega,Premier League,77.5,0.9,0.5,50.0,2.6,1.7,52.5
Marcus Johansson,Premier League,93.0,0.0,0.0,16.0,0.0,0.0,0.0
Pierre Dubois,Premier League,82.0,1.3,0.9,33.0,2.4,2.3,40.0
Kim Seung-Ho,Premier League,75.0,0.7,0.4,45.0,2.0,1.5,50.5
Rafael Santos,Premier League,79.5,2.4,1.8,60.0,0.8,1.2,34.0
Ben Harrison,Premier League,86.0,1.7,1.3,37.0,1.0,1.8,36.0
Sofia Chen,Premier League,73.0,0.6,0.4,40.0,3.4,2.2,47.0
